Node,Province name,Long,Lat
362,Phú Thọ,21.2678737,105.2284341
363,Phú Yên,13.066004,109.330942
364,Phú Yên,13.3605584,109.0977607
365,Phú Yên,12.996177,109.274829
366,Phú Yên,12.986111,108.900945
367,Phú Yên,13.579334,109.199785
368,Quảng Bình,17.462101,106.589971
369,Quảng Bình,17.773733,106.441109
370,Quảng Bình,17.19247,106.790135
371,Quảng Bình,17.584318,106.519172
372,Quảng Bình,17.836659,105.976048
373,Quảng Bình,21.246044,106.098427
374,Quảng Nam,15.561002,108.449837
375,Quảng Nam,15.825948,108.254216
376,Quảng Nam,15.431831,108.654469
377,Quảng Nam,15.710904,108.268263
378,Quảng Nam,15.342962,108.222055
379,Quảng Nam,15.541198,108.044033
380,Quảng Nam,15.7686,107.8277
381,Quảng Nam,15.883886,108.120271
382,Quảng Nam,15.48668,108.301586
383,Quảng Nam,15.715627,108.0602
384,Quảng Nam,15.434217,107.788007
385,Quảng Nam,15.886197,107.491998
386,Quảng Nam,15.955578,107.789481
387,Quảng Nam,15.144482,108.119071
388,Quảng Nam,15.638869,107.552732
389,Quảng Nam,15.820254,108.121084
390,Quảng Ngãi,15.1220232,108.7327707
391,Quảng Ngãi,15.0144,108.8703
392,Quảng Ngãi,15.309381,108.754603
393,Quảng Ngãi,14.768747,108.739401
394,Quảng Ngãi,15.035617,108.4677416
395,Quảng Ngãi,15.259839,108.522597
396,Quảng Ninh,20.967115,107.097234
397,Quảng Ninh,21.032338,106.769837
398,Quảng Ninh,21.012589,107.25542
399,Quảng Ninh,21.500734,107.978696
400,Quảng Ninh,21.386133,107.375177
401,Quảng Ninh,21.110359,106.590355
402,Quảng Ninh,21.450219,107.702258
403,Quảng Ninh,21.270163,107.28794
404,Quảng Trị,16.822523,107.104426
405,Quảng Trị,16.622654,106.734687
406,Quảng Trị,16.691416,107.270099
407,Quảng Trị,17.062831,107.016222
408,Sóc Trăng,9.600532,105.96984
409,Sóc Trăng,9.5133072,106.1950443
410,Sóc Trăng,9.548991,105.634442
411,Sóc Trăng,9.703966,105.90127
412,Sơn La,21.328047,103.918273
413,Sơn La,20.829815,104.670375
414,Sơn La,21.058198,103.747276
415,Sơn La,21.199522,104.101279
416,Sơn La,21.200993,104.327685
417,Sơn La,21.516614,104.02565
418,Sơn La,21.658023,103.622628
419,Sơn La,21.437044,103.693179
420,Sơn La,21.263893,104.643214
421,Sơn La,20.93802,103.59544
422,Sơn La,21.043916,104.301501
423,Sơn La,20.786035,104.751038
424,Tây Ninh,11.314711,106.070113
425,Tây Ninh,11.5295631,106.0085102
426,Tây Ninh,11.0889,106.2752
427,Tây Ninh,11.551754,106.1739935
428,Tây Ninh,11.088891,106.27509
429,Tây Ninh,11.311702,106.174505
430,Tây Ninh,11.036252,106.361638
431,Thái Bình,20.435966,106.344639
432,Thái Bình,20.592008,106.220247
433,Thái Bình,20.404447,106.506876
434,Thái Nguyên,21.576277,105.829494
435,Thái Nguyên,21.477393,105.994102
436,Thái Nguyên,21.746806,105.723785
437,Thái Nguyên,21.638296,105.84399
438,Thái Nguyên,21.576277,105.829494
439,Thái Nguyên,21.6035779,105.4860979
440,Thái Nguyên,21.581948,105.812131
441,Thái Nguyên,21.785836,105.9024288
442,Thanh Hóa,19.789131,105.782544
443,Thanh Hóa,19.905105,105.515642
444,Thanh Hóa,20.077701,105.893663
445,Thanh Hóa,19.451253,105.771643
446,Thanh Hóa,19.91677,105.811601
447,Thanh Hóa,19.669331,105.4472
448,Thanh Hóa,20.141338,105.673465
449,Thanh Hóa,19.90459,105.349676
450,Thanh Hóa,20.374446,105.029361
451,Thanh Hóa,20.312618,105.04604
452,Thanh Hóa,20.29278,105.260265
453,Thanh Hóa,20.06354,105.389485
454,Thanh Hóa,20.459038,104.693845
455,Thanh Hóa,20.1485895,105.0112108
456,Thanh Hóa,19.72012,105.783005
457,Thừa Thiên Huế,16.47062,107.558358
458,Thừa Thiên Huế,16.266817,107.879252
459,Thừa Thiên Huế,16.516364,107.407769
460,Thừa Thiên Huế,16.29011,107.237
461,Tiền Giang,10.370372,106.326212
462,Tiền Giang,10.4158,106.1231
463,Tiền Giang,10.319874,106.708691
464,Tiền Giang,10.4777,106.3169
465,Tiền Giang,10.3582277,105.9833492
466,Tiền Giang,10.356067,106.509801
467,Trà Vinh,9.917138,106.330384
468,Trà Vinh,9.817886,106.195344
469,Trà Vinh,9.701278,106.497877
470,Tuyên Quang,21.784031,105.22767
471,Tuyên Quang,21.693373,105.396336
472,Tuyên Quang,22.142954,105.26993
473,Tuyên Quang,21.825128,105.313606
474,Tuyên Quang,22.350617,105.382512
475,Tuyên Quang,22.024811,105.012259
476,Tuyên Quang,22.456788,105.217059
477,Vĩnh Long,10.23009,105.951783
478,Vĩnh Long,10.103187,106.084026
479,Vĩnh Long,10.066254,105.793061
480,Vĩnh Long,10.17742,106.1126924
481,Vĩnh Long,10.1146933,105.9634965
482,Vĩnh Phúc,21.299053,105.718463
483,Vĩnh Phúc,21.444317,105.476707
484,Vĩnh Phúc,21.231189,105.7058134
485,Vũng Tàu,10.364737,107.074165
486,Yên Bái,21.697561,104.87732
487,Yên Bái,21.602735,104.510113
488,Yên Bái,21.88009,104.686835
489,Yên Bái,21.593908,104.506845
490,Yên Bái,21.767434,104.272989
491,Yên Bái,22.110795,104.771723
492,Yên Bái,21.729003,104.961123
493,Yên Bái,21.500981,104.410794
494,Yên Bái,21.7050358,104.6530725
